iter	Passed	Remaining
0	145	145035
1	146	73287
2	148	49311
3	149	37323
4	151	30143
5	153	25381
6	155	22102
7	157	19586
8	159	17570
9	161	15951
10	162	14623
11	164	13509
12	165	12573
13	167	11773
14	168	11073
15	171	10573
16	173	10043
17	175	9552
18	176	9108
19	177	8699
20	178	8329
21	179	7995
22	181	7689
23	182	7408
24	183	7145
25	184	6918
26	186	6736
27	187	6525
28	188	6325
29	189	6139
30	190	5963
31	191	5795
32	192	5638
33	193	5488
34	193	5347
35	194	5214
36	195	5088
37	196	4968
38	197	4855
39	197	4743
40	198	4647
41	199	4555
42	201	4474
43	201	4382
44	202	4293
45	202	4208
46	203	4127
47	204	4049
48	204	3973
49	205	3901
50	205	3832
51	206	3765
52	207	3703
53	207	3642
54	208	3583
55	209	3526
56	209	3470
57	210	3418
58	211	3367
59	212	3322
60	212	3275
61	213	3231
62	214	3186
63	215	3152
64	216	3113
65	217	3071
66	217	3030
67	217	2986
68	218	2948
69	219	2911
70	219	2875
71	220	2839
72	220	2805
73	221	2772
74	222	2739
75	222	2708
76	223	2677
77	223	2647
78	224	2618
79	225	2592
80	226	2565
81	226	2537
82	227	2511
83	227	2484
84	228	2457
85	228	2432
86	230	2414
87	230	2393
88	231	2372
89	232	2355
90	233	2333
91	234	2311
92	234	2290
93	235	2269
94	236	2248
95	236	2228
96	237	2209
97	237	2189
98	238	2170
99	239	2152
100	239	2134
101	240	2114
102	240	2097
103	241	2079
104	242	2062
105	242	2046
106	243	2029
107	243	2013
108	245	2007
109	246	1993
110	247	1978
111	247	1963
112	248	1948
113	248	1933
114	249	1919
115	249	1904
116	250	1890
117	251	1877
118	251	1862
119	252	1849
120	252	1836
121	254	1827
122	254	1813
123	255	1802
124	255	1790
125	256	1779
126	257	1768
127	257	1755
128	258	1745
129	260	1745
130	262	1738
131	262	1728
132	263	1718
133	264	1708
134	265	1698
135	265	1688
136	266	1679
137	267	1669
138	268	1660
139	268	1652
140	269	1642
141	270	1633
142	271	1624
143	271	1615
144	272	1607
145	273	1598
146	273	1589
147	275	1585
148	276	1577
149	277	1569
150	277	1561
151	278	1553
152	279	1545
153	280	1538
154	280	1531
155	281	1524
156	282	1516
157	283	1509
158	283	1501
159	284	1494
160	285	1487
161	286	1480
162	286	1473
163	288	1473
164	289	1467
165	290	1460
166	291	1454
167	292	1447
168	292	1440
169	293	1434
170	294	1428
171	295	1421
172	296	1415
173	296	1408
174	297	1402
175	298	1396
176	298	1389
177	299	1384
178	300	1378
179	301	1372
180	301	1365
181	303	1365
182	305	1362
183	306	1358
184	307	1353
185	307	1347
186	308	1341
187	309	1336
188	310	1330
189	310	1325
190	311	1319
191	312	1314
192	313	1309
193	313	1304
194	314	1298
195	315	1293
196	316	1288
197	316	1283
198	318	1283
199	319	1279
200	320	1275
201	321	1271
202	323	1270
203	324	1267
204	325	1263
205	326	1259
206	327	1254
207	328	1250
208	329	1245
209	329	1240
210	330	1235
211	331	1230
212	331	1225
213	332	1220
214	333	1219
215	334	1215
216	335	1211
217	336	1207
218	337	1203
219	338	1198
220	338	1193
221	339	1189
222	339	1184
223	340	1179
224	341	1174
225	341	1170
226	342	1165
227	342	1161
228	343	1156
229	344	1152
230	344	1147
231	345	1143
232	345	1138
233	346	1134
234	347	1130
235	348	1127
236	349	1124
237	350	1122
238	351	1117
239	351	1113
240	352	1109
241	352	1105
242	353	1101
243	354	1097
244	354	1093
245	355	1088
246	355	1084
247	356	1080
248	357	1076
249	357	1072
250	358	1069
251	358	1065
252	359	1061
253	360	1057
254	360	1053
255	361	1050
256	361	1046
257	362	1043
258	364	1043
259	365	1040
260	366	1037
261	366	1033
262	367	1029
263	368	1026
264	368	1022
265	369	1019
266	369	1015
267	370	1012
268	371	1008
269	371	1005
270	372	1001
271	372	998
272	373	994
273	374	991
274	374	987
275	375	984
276	375	981
277	376	977
278	377	974
279	379	976
280	380	973
281	381	970
282	381	966
283	382	963
284	382	960
285	383	957
286	383	953
287	384	950
288	385	947
289	385	944
290	386	941
291	387	938
292	387	935
293	388	932
294	389	929
295	389	926
296	390	923
297	390	920
298	391	918
299	393	918
300	394	916
301	395	914
302	396	911
303	396	908
304	397	905
305	398	902
306	398	900
307	399	897
308	399	894
309	400	891
310	401	888
311	401	885
312	402	883
313	403	880
314	403	877
315	404	875
316	404	872
317	405	869
318	406	867
319	406	864
320	407	861
321	409	861
322	410	859
323	411	857
324	412	855
325	412	853
326	413	851
327	414	848
328	414	846
329	415	843
330	416	841
331	417	839
332	417	836
333	418	834
334	418	831
335	419	829
336	420	826
337	420	824
338	421	822
339	422	820
340	423	819
341	424	817
342	425	814
343	425	812
344	426	809
345	427	807
346	428	805
347	428	803
348	429	800
349	429	798
350	430	795
351	431	793
352	431	791
353	432	788
354	433	786
355	433	784
356	434	782
357	435	780
358	435	778
359	436	775
360	437	774
361	438	772
362	439	771
363	440	768
364	440	766
365	441	764
366	441	762
367	442	760
368	443	757
369	443	755
370	444	753
371	445	751
372	445	749
373	446	747
374	447	746
375	448	744
376	449	743
377	450	741
